office,district_id,district,district_md_ref,district_web_ref,legislator,party,city_town,percent,PVI,PVI_N,summary
State Representative,58800,Tenth Middlesex,[Tenth Middlesex](state-rep-tenth-middlesex.html),<a href=state-rep-tenth-middlesex.html>Tenth Middlesex</a>,"John J. Lawn, Jr. (D-Watertown)",Democratic,Watertown,1.0,D+23,23.45684828541612,"The Massachusetts Tenth Middlesex State Representative District includes portions of Newton, Waltham, and Watertown, covering an area of 5 square miles with a population of 43,110. The district is currently represented by incumbent John J. Lawn, Jr. (D-Watertown), who has held the seat since winning a special election in 2011 and has run unopposed in most recent elections."
State Representative,58837,Tenth Norfolk,[Tenth Norfolk](state-rep-tenth-norfolk.html),<a href=state-rep-tenth-norfolk.html>Tenth Norfolk</a>,Jeffrey N. Roy (D-Franklin),Democratic,Franklin,0.6177029702970297,D+11,10.726500953100016,"This Massachusetts legislative district is currently represented by Democrat Jeffrey N. Roy of Franklin, who has held the seat since 2012. The district encompasses the town of Franklin and precincts 2, 3, and 4 of Medway, covering 35 square miles with a population of approximately 42,377 residents."
State Representative,58852,Tenth Plymouth,[Tenth Plymouth](state-rep-tenth-plymouth.html),<a href=state-rep-tenth-plymouth.html>Tenth Plymouth</a>,Michelle Marie Dubois (D-Brockton),Democratic,Brockton,1.0,D+22,22.094916515831752,"The Massachusetts Tenth Plymouth State Representative District is located entirely within the city of Brockton, comprising precincts 4-A through 6-D. The district is currently represented by incumbent Democrat Michelle Marie Dubois of Brockton, who has held the seat since 2014."
State Representative,58864,Tenth Suffolk,[Tenth Suffolk](state-rep-tenth-suffolk.html),<a href=state-rep-tenth-suffolk.html>Tenth Suffolk</a>,William Macgregor (D-Boston),Democratic,Boston,1.0,D+25,24.681057552928166,"The Tenth Suffolk State Representative District in Massachusetts encompasses parts of Boston and Brookline, covering about 8 square miles. The current incumbent is William Macgregor (D-Boston), who won a special election in 2023 and was re-elected in 2024. Previously, the district was represented by Edward Coppinger from 2010 to 2022."
State Representative,58883,Tenth Worcester,[Tenth Worcester](state-rep-tenth-worcester.html),<a href=state-rep-tenth-worcester.html>Tenth Worcester</a>,Brian William Murray (D-Milford),Democratic,Milford,1.0,D+7,7.102161568604492,"The Massachusetts Tenth Worcester State Representative District includes the towns of Hopedale, Mendon, and Milford. The current incumbent is Brian William Murray, a Democrat from Milford, who has represented the district since 2016 and has won his most recent elections unopposed."
State Representative,58735,Third Barnstable,[Third Barnstable](state-rep-third-barnstable.html),<a href=state-rep-third-barnstable.html>Third Barnstable</a>,David T. Vieira (R-Falmouth),Republican,Falmouth,0.5603475348058201,D+9,8.97038541605909,"The Massachusetts Third Barnstable State Representative District covers parts of Bourne and Falmouth, as well as Mashpee, with a total population of 44,429. The district is currently represented by Republican David T. Vieira of Falmouth, who has held the seat since defeating Democrat Matthew Patrick in 2010 and most recently won reelection in 2024."
State Representative,58740,Third Berkshire,[Third Berkshire](state-rep-third-berkshire.html),<a href=state-rep-third-berkshire.html>Third Berkshire</a>,Leigh Susan Davis (D-Great Barrington),Democratic,Great Barrington,0.5748097000956699,D+24,23.843976597052553,"The Massachusetts Third Berkshire State Representative District covers 18 towns in western Massachusetts including Great Barrington, Lenox, and several other Berkshire County communities. The district is currently represented by Democrat Leigh Susan Davis of Great Barrington, who won the seat in 2024 with 57% of the vote against independent candidate Marybeth F. Mitts."
State Representative,58744,Third Bristol,[Third Bristol](state-rep-third-bristol.html),<a href=state-rep-third-bristol.html>Third Bristol</a>,Carol Ann Doherty (D-Taunton),Democratic,Taunton,1.0,D+5,4.901133835618121,"The Massachusetts Third Bristol State Representative District encompasses parts of Taunton and Easton, with a population of 46,224. The current representative is Carol Ann Doherty, a Democrat from Taunton, who won the 2022 election with 57% of the vote against Republican Christopher P. Coute."
State Representative,58758,Third Essex,[Third Essex](state-rep-third-essex.html),<a href=state-rep-third-essex.html>Third Essex</a>,Andres X. Vargas (D-Haverhill),Democratic,Haverhill,1.0,D+8,7.900742394426608,"The Third Essex State Representative District in Massachusetts is represented by Democratic incumbent Andres X. Vargas from Haverhill. The district encompasses 18 precincts in Haverhill and has a population of approximately 46,201 residents."
State Representative,58778,Third Hampden,[Third Hampden](state-rep-third-hampden.html),<a href=state-rep-third-hampden.html>Third Hampden</a>,Nicholas A. Boldyga (R-Southwick),Republican,Southwick,1.0,R+6,-5.614496466112351,"The Massachusetts Third Hampden State Representative District is currently represented by incumbent Republican Nicholas A. Boldyga of Southwick. The district covers parts of Agawam and several small towns in western Massachusetts, with a predominantly white (90%) population of about 43,842 residents."
State Representative,58790,Third Hampshire,[Third Hampshire](state-rep-third-hampshire.html),<a href=state-rep-third-hampshire.html>Third Hampshire</a>,Mindy Domb (D-Amherst),Democratic,Amherst,1.0,D+36,35.50821563275488,"The Massachusetts Third Hampshire State Representative District encompasses Amherst and parts of Granby (precincts 1 and 2A), covering 42 square miles with a population of 36,357. The incumbent is Democrat Mindy Domb of Amherst, who has represented the district since winning election in 2018."
State Representative,58793,Third Middlesex,[Third Middlesex](state-rep-third-middlesex.html),<a href=state-rep-third-middlesex.html>Third Middlesex</a>,Kate Hogan (D-Stow),Democratic,Stow,1.0,D+18,18.232780959673367,"The Massachusetts Third Middlesex State Representative District is currently represented by incumbent Democrat Kate Hogan of Stow, who has held the seat since 2008. The district encompasses the towns of Bolton, Hudson, Maynard, and Stow in Middlesex County."
State Representative,58830,Third Norfolk,[Third Norfolk](state-rep-third-norfolk.html),<a href=state-rep-third-norfolk.html>Third Norfolk</a>,Ronald Mariano (D-Quincy),Democratic,Quincy,1.0,D+11,11.011869493554126,"The Third Norfolk State Representative District is currently represented by Ronald Mariano (D-Quincy), who has held the seat since 1991 and serves as Speaker of the House. The district covers parts of Quincy, Weymouth, and Holbrook with a population of approximately 41,814 people."
State Representative,58845,Third Plymouth,[Third Plymouth](state-rep-third-plymouth.html),<a href=state-rep-third-plymouth.html>Third Plymouth</a>,Joan Meschino (D-Hull),Democratic,Hull,1.0,D+16,15.723339499327585,"The Massachusetts Third Plymouth State Representative District includes the towns of Cohasset, Hingham, and Hull. The current incumbent is Joan Meschino (D-Hull), who has represented the district since 2016 and has run unopposed in the last three election cycles (2020, 2022, and 2024)."
State Representative,58857,Third Suffolk,[Third Suffolk](state-rep-third-suffolk.html),<a href=state-rep-third-suffolk.html>Third Suffolk</a>,Aaron M. Michlewitz (D-Boston),Democratic,Boston,1.0,D+29,29.462678802554176,"The Massachusetts Third Suffolk State Representative District covers a small area of about 1 square mile in Boston, encompassing parts of several Boston precincts. The incumbent is House Ways and Mean Chair Aaron M. Michlewitz of Boston, who has held the seat since winning a special election in 2009, and has run unopposed in every regular election since taking office."
State Representative,58876,Third Worcester,[Third Worcester](state-rep-third-worcester.html),<a href=state-rep-third-worcester.html>Third Worcester</a>,Michael P. Kushmerek (D-Fitchburg),Democratic,Fitchburg,1.0,D+8,7.907419229523526,"The Massachusetts Third Worcester State Representative District is primarily located in Fitchburg with some precincts from Lunenburg. The district is currently represented by incumbent Democrat Michael P. Kushmerek of Fitchburg, who has held the seat since 2020."
State Representative,58754,Thirteenth Bristol,[Thirteenth Bristol](state-rep-thirteenth-bristol.html),<a href=state-rep-thirteenth-bristol.html>Thirteenth Bristol</a>,Antonio d. F. Cabral (D-New Bedford),Democratic,New Bedford,1.0,D+10,9.918097010773709,"The Massachusetts Thirteenth Bristol State Representative District is located entirely within New Bedford and is currently represented by incumbent Democrat Antonio F.D. Cabral, who has held the seat since at least 1990. The district encompasses multiple precincts in New Bedford, covering an area of approximately 5 square miles."
State Representative,58768,Thirteenth Essex,[Thirteenth Essex](state-rep-thirteenth-essex.html),<a href=state-rep-thirteenth-essex.html>Thirteenth Essex</a>,Sally P. Kerans (D-Danvers),Democratic,Danvers,1.0,D+4,4.274293049761491,"The Thirteenth Essex State Representative District in Massachusetts covers parts of Danvers, Middleton, Peabody, Topsfield, and Wenham, spanning 30 square miles with a population of 44,833. The district is predominantly white (88%) with a 4% poverty rate and 36% college-educated population. It is currently represented by Democratic incumbent Sally P. Kerans of Danvers, who reclaimed the seat in 2020 after previously serving in the early 1990s."
State Representative,58803,Thirteenth Middlesex,[Thirteenth Middlesex](state-rep-thirteenth-middlesex.html),<a href=state-rep-thirteenth-middlesex.html>Thirteenth Middlesex</a>,Carmine Lawrence Gentile (D-Sudbury),Democratic,Sudbury,0.7355834060442611,D+28,27.86960088148549,"This legislative district encompasses parts of Concord, Lincoln, Marlborough, Sudbury, and Wayland. The current incumbent is Democrat Carmine Lawrence Gentile from Sudbury, who has represented the district since 2014 and most recently won reelection in 2024 with 74% of the vote."
State Representative,58840,Thirteenth Norfolk,[Thirteenth Norfolk](state-rep-thirteenth-norfolk.html),<a href=state-rep-thirteenth-norfolk.html>Thirteenth Norfolk</a>,Joshua Tarsky (D-Needham),Democratic,Needham,0.6145748987854251,D+25,25.167533242032636,"The Massachusetts Thirteenth Norfolk State Representative District includes all of Dover, parts of Medfield, and all of Needham, covering a predominantly white, affluent area with low poverty rates. The district is currently represented by Joshua Tarsky, a Democrat from Needham, who won the seat in 2024 with 61% of the vote after longtime Democratic representative Denise C. Garlick held the position from 2010 to 2022."
State Representative,58867,Thirteenth Suffolk,[Thirteenth Suffolk](state-rep-thirteenth-suffolk.html),<a href=state-rep-thirteenth-suffolk.html>Thirteenth Suffolk</a>,Daniel J. Hunt (D-Boston),Democratic,Boston,1.0,D+20,20.02048881911377,"The Massachusetts Thirteenth Suffolk State Representative District is represented by incumbent Daniel J. Hunt (D-Boston). The district is located entirely within Boston, encompassing parts of Dorchester and surrounding neighborhoods. Hunt has held this seat since winning a special election in 2014, running unopposed in every election since then."
State Representative,58886,Thirteenth Worcester,[Thirteenth Worcester](state-rep-thirteenth-worcester.html),<a href=state-rep-thirteenth-worcester.html>Thirteenth Worcester</a>,"John J. Mahoney, Jr. (D-Worcester)",Democratic,Worcester,1.0,D+18,17.931933535709444,"The Thirteenth Worcester State Representative District is located entirely in Worcester, Massachusetts, covering 13 precincts within the city. The district is currently represented by incumbent John J. Mahoney, Jr. (D-Worcester), who has held the seat since 2010 and has run unopposed in most recent elections."
State Representative,58820,Thirtieth Middlesex,[Thirtieth Middlesex](state-rep-thirtieth-middlesex.html),<a href=state-rep-thirtieth-middlesex.html>Thirtieth Middlesex</a>,Richard M. Haggerty (D-Woburn),Democratic,Woburn,1.0,D+12,12.006489684580778,"Massachusetts Thirtieth Middlesex State Representative District is currently represented by Richard M. Haggerty (Democrat) from Woburn. The district encompasses parts of Reading (precincts 2-6) and Woburn (multiple precincts), covering an area of 13 square miles with a population of approximately 46,920."
State Representative,58825,Thirty-Fifth Middlesex,[Thirty-Fifth Middlesex](state-rep-thirty-fifth-middlesex.html),<a href=state-rep-thirty-fifth-middlesex.html>Thirty-Fifth Middlesex</a>,"Paul J. Donato, Sr. (D-Medford)",Democratic,Medford,1.0,D+21,20.93820374884944,"The Massachusetts Thirty-Fifth Middlesex State Representative District covers parts of Malden and Medford, with a population of 42,781. The district is currently represented by incumbent Paul J. Donato, Sr. (D-Medford), who has won consecutive elections since 2002, often running unopposed."
State Representative,58821,Thirty-First Middlesex,[Thirty-First Middlesex](state-rep-thirty-first-middlesex.html),<a href=state-rep-thirty-first-middlesex.html>Thirty-First Middlesex</a>,Michael Seamus Day (D-Stoneham),Democratic,Stoneham,1.0,D+15,14.88095383836776,"The Massachusetts Thirty-First Middlesex State Representative District covers parts of Stoneham and Winchester, with a population of 43,563. The incumbent is Democrat Michael Seamus Day of Stoneham, who has held the seat since 2014 and is running unopposed in the 2024 election."
State Representative,58824,Thirty-Fourth Middlesex,[Thirty-Fourth Middlesex](state-rep-thirty-fourth-middlesex.html),<a href=state-rep-thirty-fourth-middlesex.html>Thirty-Fourth Middlesex</a>,Christine P. Barber (D-Somerville),Democratic,Somerville,1.0,D+32,32.13904068076408,"The Massachusetts Thirty-Fourth Middlesex State Representative District is represented by incumbent Democrat Christine P. Barber of Somerville, who has served the district since 2014. The district includes parts of Medford and Somerville in the eastern part of the state."
State Representative,58822,Thirty-Second Middlesex,[Thirty-Second Middlesex](state-rep-thirty-second-middlesex.html),<a href=state-rep-thirty-second-middlesex.html>Thirty-Second Middlesex</a>,Kate Lipper-Garabedian (D-Melrose),Democratic,Melrose,1.0,D+20,20.21137813826417,"The Massachusetts Thirty-Second Middlesex State Representative District covers parts of Malden, all of Melrose, and precincts 4, 5, and 6 in Wakefield. The district is currently represented by Democratic incumbent Kate Lipper-Garabedian of Melrose, who has held the seat since winning a special election in March 2020."
State Representative,58827,Thirty-Seventh Middlesex,[Thirty-Seventh Middlesex](state-rep-thirty-seventh-middlesex.html),<a href=state-rep-thirty-seventh-middlesex.html>Thirty-Seventh Middlesex</a>,Danillo A. Sena (D-Acton),Democratic,Acton,1.0,D+22,21.658715710360298,"The Thirty-Seventh Middlesex State Representative District in Massachusetts is currently represented by Democrat Danillo A. Sena of Acton. The district includes portions of Acton, as well as Ayer, Boxborough, part of Groton, Harvard, and Shirley, covering an area of 86 square miles in north-central Massachusetts."
State Representative,58826,Thirty-Sixth Middlesex,[Thirty-Sixth Middlesex](state-rep-thirty-sixth-middlesex.html),<a href=state-rep-thirty-sixth-middlesex.html>Thirty-Sixth Middlesex</a>,Colleen M. Garry (D-Dracut),Democratic,Dracut,1.0,R+1,-1.3437822130037411,"The Thirty-Sixth Middlesex State Representative District in Massachusetts includes the towns of Dracut and Tyngsborough. It is currently represented by Democrat Colleen M. Garry of Dracut, who has held this seat since at least 2002 and has won several elections, sometimes unopposed."
State Representative,58823,Thirty-Third Middlesex,[Thirty-Third Middlesex](state-rep-thirty-third-middlesex.html),<a href=state-rep-thirty-third-middlesex.html>Thirty-Third Middlesex</a>,Steven Ultrino (D-Malden),Democratic,Malden,1.0,D+22,21.75462237371607,"The Thirty-Third Middlesex State Representative District is located entirely within Malden, covering 18 precincts of the city. It is currently represented by Democrat Steven Ultrino of Malden, who has won every election since 2014, running unopposed in the most recent elections."
State Representative,58753,Twelfth Bristol,[Twelfth Bristol](state-rep-twelfth-bristol.html),<a href=state-rep-twelfth-bristol.html>Twelfth Bristol</a>,Norman J. Orrall (R-Lakeville),Republican,Lakeville,1.0,R+4,-3.906338726189023,"The Massachusetts Twelfth Bristol State Representative District covers Berkley, Lakeville, parts of Middleborough (precincts 2, 4, 5, 7), and parts of Taunton (precincts 3-A, 3-B, 4-A, 4-B). The current incumbent is Norman J. Orrall, a Republican from Lakeville, who has held the seat since winning election in 2018."
State Representative,58767,Twelfth Essex,[Twelfth Essex](state-rep-twelfth-essex.html),<a href=state-rep-twelfth-essex.html>Twelfth Essex</a>,Thomas P. Walsh (D-Peabody),Democratic,Peabody,1.0,D+5,5.101521832852751,"The Massachusetts Twelfth Essex State Representative District covers Peabody (all 15 precincts) with a population of 44,442. The current incumbent is Thomas P. Walsh, a Democrat from Peabody, who has represented the district since 2016 and previously served from 1990-1994."
State Representative,58787,Twelfth Hampden,[Twelfth Hampden](state-rep-twelfth-hampden.html),<a href=state-rep-twelfth-hampden.html>Twelfth Hampden</a>,"Angelo J. Puppolo, Jr. (D-Springfield)",Democratic,Springfield,1.0,D+6,6.365518143554672,"The Massachusetts Twelfth Hampden State Representative District is currently represented by incumbent Democrat Angelo J. Puppolo, Jr. of Springfield. The district includes parts of East Longmeadow, Monson, Springfield, and Wilbraham, with a population of approximately 44,026 people."
State Representative,58802,Twelfth Middlesex,[Twelfth Middlesex](state-rep-twelfth-middlesex.html),<a href=state-rep-twelfth-middlesex.html>Twelfth Middlesex</a>,Greg Schwartz (D-Newton),Democratic,Newton,1.0,D+32,31.823267801381196,"The Massachusetts Twelfth Middlesex State Representative District includes parts of Brookline and Newton, with a population of 44,561. The current incumbent is Democrat Greg Schwartz from Newton, who will represent the district following the 2024 election after a long tenure by Ruth B. Balser, who had represented the district since at least 2002."
State Representative,58839,Twelfth Norfolk,[Twelfth Norfolk](state-rep-twelfth-norfolk.html),<a href=state-rep-twelfth-norfolk.html>Twelfth Norfolk</a>,John H. Rogers (D-Norwood),Democratic,Norwood,1.0,D+11,11.07474571348057,"The Massachusetts Twelfth Norfolk State Representative District is represented by incumbent Democrat John H. Rogers of Norwood, who has held the seat since at least 1992. The district covers the town of Norwood and several precincts in Walpole, with a population of about 44,415 people."
State Representative,58854,Twelfth Plymouth,[Twelfth Plymouth](state-rep-twelfth-plymouth.html),<a href=state-rep-twelfth-plymouth.html>Twelfth Plymouth</a>,Kathleen R. Lanatra (D-Kingston),Democratic,Kingston,0.5313786008230452,D+2,1.958533053062572,"The Twelfth Plymouth State Representative District in Massachusetts includes parts of Halifax, Kingston, Middleborough, Pembroke, Plymouth, and Plympton, covering 77 square miles with a population of 45,094. The district is currently represented by incumbent Democrat Kathleen R. LaNatra of Kingston, who was most recently reelected in 2024."
State Representative,58866,Twelfth Suffolk,[Twelfth Suffolk](state-rep-twelfth-suffolk.html),<a href=state-rep-twelfth-suffolk.html>Twelfth Suffolk</a>,Brandy Fluker Oakley (D-Boston),Democratic,Boston,1.0,D+38,38.32711596561465,"The Massachusetts Twelfth Suffolk State Representative District is currently represented by Democrat Brandy Fluker Oakley of Boston who has held the seat since 2020. The district encompasses parts of Boston and Milton, with a predominantly minority population (83%) that includes portions of the Dorchester, Mattapan, and Hyde Park neighborhoods."
State Representative,58885,Twelfth Worcester,[Twelfth Worcester](state-rep-twelfth-worcester.html),<a href=state-rep-twelfth-worcester.html>Twelfth Worcester</a>,Meghan Kilcoyne (D-Clinton),Democratic,Clinton,1.0,D+8,7.6983773553922275,"The 12th Worcester State Representative District in Massachusetts is currently represented by Democratic incumbent Meghan Kilcoyne of Clinton. The district encompasses Berlin, Boylston, Clinton, Lancaster, Sterling, and part of Northborough, covering a mostly white, suburban/rural area in central Massachusetts."
State Representative,58810,Twentieth Middlesex,[Twentieth Middlesex](state-rep-twentieth-middlesex.html),<a href=state-rep-twentieth-middlesex.html>Twentieth Middlesex</a>,"Bradley H. Jones, Jr. (R-North Reading)",Republican,North Reading,1.0,D+4,4.124059686428949,"The Massachusetts Twentieth Middlesex State Representative District is currently represented by incumbent Republican Bradley H. Jones, Jr. of North Reading, who has held the seat continuously since at least 2002. The district includes parts of Lynnfield, Middleton, North Reading, and Reading, covering an area of 41 square miles with a population of approximately 44,611."
State Representative,58818,Twenty-Eighth Middlesex,[Twenty-Eighth Middlesex](state-rep-twenty-eighth-middlesex.html),<a href=state-rep-twenty-eighth-middlesex.html>Twenty-Eighth Middlesex</a>,"Joseph W. Mcgonagle, Jr (D-Everett)",Democratic,Everett,1.0,D+17,17.04208786819762,"The Twenty-Eighth Middlesex State Representative District is located entirely within the city of Everett, Massachusetts. The current incumbent is Democratic State Representative Joseph W. McGonagle, Jr. of Everett, who has represented the district since 2014.
"
State Representative,58815,Twenty-Fifth Middlesex,[Twenty-Fifth Middlesex](state-rep-twenty-fifth-middlesex.html),<a href=state-rep-twenty-fifth-middlesex.html>Twenty-Fifth Middlesex</a>,Marjorie C. Decker (D-Cambridge),Democratic,Cambridge,0.975131448060253,D+44,43.83274567908123,"The Massachusetts Twenty-Fifth Middlesex State Representative District is located entirely in Cambridge and is currently represented by Democratic incumbent Marjorie C. Decker. The district has been consistently held by Democrats, with Rep. Decker winning her elections with overwhelming majorities, often running unopposed."
State Representative,58811,Twenty-First Middlesex,[Twenty-First Middlesex](state-rep-twenty-first-middlesex.html),<a href=state-rep-twenty-first-middlesex.html>Twenty-First Middlesex</a>,Kenneth I. Gordon (D-Bedford),Democratic,Bedford,1.0,D+17,16.575544501110095,"Massachusetts Twenty-First Middlesex State Representative District is currently represented by Kenneth I. Gordon (D-Bedford) who has been serving since 2012 and has run unopposed in the last four elections. The district covers Bedford, Burlington, and part of Lexington (Precinct 6)."
State Representative,58814,Twenty-Fourth Middlesex,[Twenty-Fourth Middlesex](state-rep-twenty-fourth-middlesex.html),<a href=state-rep-twenty-fourth-middlesex.html>Twenty-Fourth Middlesex</a>,David M. Rogers (D-Cambridge),Democratic,Cambridge,1.0,D+32,32.4025364207801,"The Massachusetts Twenty-Fourth Middlesex State Representative District is currently represented by incumbent David M. Rogers (D-Cambridge), who has run unopposed in every election since 2014. The district covers parts of Arlington, Belmont, and Cambridge, encompassing approximately 7 square miles with a population of 46,340."
State Representative,58819,Twenty-Ninth Middlesex,[Twenty-Ninth Middlesex](state-rep-twenty-ninth-middlesex.html),<a href=state-rep-twenty-ninth-middlesex.html>Twenty-Ninth Middlesex</a>,Steven C. Owens (D-Watertown),Democratic,Watertown,1.0,D+35,35.341904736686026,"The Massachusetts Twenty-Ninth Middlesex State Representative District is currently represented by incumbent Democrat Steven C. Owens of Watertown. The district encompasses parts of Cambridge (8 precincts) and all of Watertown (8 precincts), covering approximately 5 square miles with a population of 43,429."
State Representative,58812,Twenty-Second Middlesex,[Twenty-Second Middlesex](state-rep-twenty-second-middlesex.html),<a href=state-rep-twenty-second-middlesex.html>Twenty-Second Middlesex</a>,Marc T. Lombardo (R-Billerica),Republican,Billerica,0.6112387428781474,D+2,2.3574020739756008,"This district covers the town of Billerica and is currently represented by Republican incumbent Marc T. Lombardo, who has held the seat since 2010 and won his most recent election in 2022 with 54% of the vote against Democratic challenger Teresa Nicole English."
State Representative,58817,Twenty-Seventh Middlesex,[Twenty-Seventh Middlesex](state-rep-twenty-seventh-middlesex.html),<a href=state-rep-twenty-seventh-middlesex.html>Twenty-Seventh Middlesex</a>,Erika Uyterhoeven (D-Somerville),Democratic,Somerville,1.0,D+40,40.20586051555074,"The Massachusetts Twenty-Seventh Middlesex State Representative District is located entirely within Somerville and is currently represented by Democrat Erika Uyterhoeven, who has held the seat since 2021. The district is highly Democratic, with the incumbent typically winning without Republican opposition."
State Representative,58816,Twenty-Sixth Middlesex,[Twenty-Sixth Middlesex](state-rep-twenty-sixth-middlesex.html),<a href=state-rep-twenty-sixth-middlesex.html>Twenty-Sixth Middlesex</a>,Mike Connolly (D-Cambridge),Democratic,Cambridge,1.0,D+39,38.943071882759114,"This district, covering parts of Cambridge and Somerville, is currently represented by incumbent Democrat Mike Connolly of Cambridge. The district has a population of 47,124 people and has been held by Connolly since he was first elected in 2016."
State Representative,58813,Twenty-Third Middlesex,[Twenty-Third Middlesex](state-rep-twenty-third-middlesex.html),<a href=state-rep-twenty-third-middlesex.html>Twenty-Third Middlesex</a>,Sean Garballey (D-Arlington),Democratic,Arlington,1.0,D+31,30.892554878958112,"The Twenty-Third Middlesex State Representative District in Massachusetts includes portions of Arlington (15 precincts) and Medford (3 precincts). The current incumbent is Sean Garballey (Democrat) from Arlington, who has held the seat since winning a special election in March 2008 and has run unopposed in most subsequent elections."
State Senate,65020,"Berkshire, Hampden, Franklin and Hampshire","[Berkshire, Hampden, Franklin and Hampshire](state-senate-berkshire-hampden-franklin-and-hampshire.html)","<a href=state-senate-berkshire-hampden-franklin-and-hampshire.html>Berkshire, Hampden, Franklin and Hampshire</a>",Paul W. Mark (D-Becket),Democratic,Becket,0.7094469074456082,D+18,18.186788229768613,"The Massachusetts Berkshire, Hampden, Franklin and Hampshire State Senate District encompasses 57 cities and towns covering 1,676 square miles in western Massachusetts. The incumbent is Democrat Paul W. Mark from Becket, who won reelection in 2024 with 71% of the vote against Republican challenger David A. Rosa."
State Senate,58695,Bristol and Norfolk,[Bristol and Norfolk](state-senate-bristol-and-norfolk.html),<a href=state-senate-bristol-and-norfolk.html>Bristol and Norfolk</a>,Paul R. Feeney (D-Foxborough),Democratic,Foxborough,0.729946492200255,D+9,9.47839616473235,"The Massachusetts Bristol and Norfolk State Senate District is currently represented by Democratic incumbent Paul R. Feeney from Foxborough. The district covers parts of southeastern Massachusetts including Attleboro, Canton, Foxborough, Mansfield, North Attleborough, Norton, and Sharon."
State Senate,58698,Cape and Islands,[Cape and Islands](state-senate-cape-and-islands.html),<a href=state-senate-cape-and-islands.html>Cape and Islands</a>,Julian Andre Cyr (D-Provincetown),Democratic,Provincetown,0.6096470543849389,D+14,14.409380508630342,"The Massachusetts Cape and Islands State Senate District covers the Cape Cod region, Martha's Vineyard, and Nantucket, spanning 19 towns with a total population of 169,739 across 407 square miles. The current incumbent is Julian Andre Cyr, a Democrat from Provincetown who has represented the district since 2017 and was most recently reelected in 2024."
State Senate,64661,Fifth Middlesex,[Fifth Middlesex](state-senate-fifth-middlesex.html),<a href=state-senate-fifth-middlesex.html>Fifth Middlesex</a>,Jason M. Lewis (D-Winchester),Democratic,Winchester,1.0,D+17,17.355988873109883,"The Massachusetts Fifth Middlesex State Senate District is currently represented by Democrat Jason M. Lewis of Winchester, who has held the seat since winning a special election in 2014. The district includes Malden, Melrose, Reading, Stoneham, Wakefield, and part of Winchester, covering 37 square miles in the northeastern suburbs of Boston."
State Senate,58696,First Bristol and Plymouth,[First Bristol and Plymouth](state-senate-first-bristol-and-plymouth.html),<a href=state-senate-first-bristol-and-plymouth.html>First Bristol and Plymouth</a>,Michael J. Rodrigues (D-Westport),Democratic,Westport,1.0,R+1,-1.4599731568909535,"The Massachusetts First Bristol and Plymouth State Senate District encompasses Fall River, Freetown, Lakeville, Rochester, Somerset, Swansea, and Westport, covering 237 square miles with a population of 171,292. The current incumbent is Democratic State Senator Michael J. Rodrigues of Westport, who has represented the district since 2010 and ran unopposed in the 2024 election."
State Senate,58699,First Essex,[First Essex](state-senate-first-essex.html),<a href=state-senate-first-essex.html>First Essex</a>,Pavel M. Payano (D-Lawrence),Democratic,Lawrence,1.0,D+10,9.519211043685772,"The Massachusetts First Essex State Senate District is currently represented by Democratic incumbent Pavel M. Payano of Lawrence, who has held the seat since 2022. The district encompasses parts of Haverhill and all of Lawrence and Methuen, covering 34 square miles with a population of 164,705. It is a diverse district with a 67% minority population, including 59% Hispanic residents."
State Senate,58700,First Essex and Middlesex,[First Essex and Middlesex](state-senate-first-essex-and-middlesex.html),<a href=state-senate-first-essex-and-middlesex.html>First Essex and Middlesex</a>,Bruce E. Tarr (R-Gloucester),Republican,Gloucester,1.0,D+12,11.9293645644304,"The Massachusetts First Essex and Middlesex State Senate District is represented by longtime Republican incumbent Bruce E. Tarr of Gloucester, who has held the seat since 1994. The district covers multiple communities across northeastern Massachusetts including parts of Essex and Middlesex counties, with a predominantly white (90%) population of 176,199 residents."
State Senate,58707,First Middlesex,[First Middlesex](state-senate-first-middlesex.html),<a href=state-senate-first-middlesex.html>First Middlesex</a>,Edward J. Kennedy (D-Lowell),Democratic,Lowell,0.6357897028409709,D+7,7.266316629349056,"The First Middlesex State Senate District of Massachusetts is currently represented by incumbent Edward J. Kennedy (D-Lowell). The district is located in northeastern Massachusetts and includes the municipalities of Lowell, Dracut, Dunstable, Pepperell, and Tyngsborough."
State Senate,65029,First Plymouth and Norfolk,[First Plymouth and Norfolk](state-senate-first-plymouth-and-norfolk.html),<a href=state-senate-first-plymouth-and-norfolk.html>First Plymouth and Norfolk</a>,Patrick A. O'Connor (R-Weymouth),Republican,Weymouth,1.0,D+10,10.275992493547248,"This district is represented by incumbent Republican Patrick A. O'Connor of Weymouth, who won reelection in 2022 with 61% of the vote. The district includes the towns of Cohasset, Duxbury, Hingham, Hull, Marshfield, Norwell, Scituate, and Weymouth, covering 146 square miles along Massachusetts' South Shore region."
State Senate,58723,First Suffolk,[First Suffolk](state-senate-first-suffolk.html),<a href=state-senate-first-suffolk.html>First Suffolk</a>,Nicholas P. Collins (D-Boston),Democratic,Boston,1.0,D+27,27.212056215154213,"The Massachusetts First Suffolk State Senate District is currently represented by Democratic incumbent Nicholas P. Collins from Boston. The district includes parts of Boston, covering 12 square miles with a population of 179,012, and encompasses a diverse area with 54% minority population."
